"Отметка времени","I have read the information above and agree to participate. I consent to the collection, processing, and storage of my data for this survey.","Are you currently enrolled as a Computer Science student and have you used ChatGPT in your academic work?","What degree are you pursuing? ","What is your programming experience?","In which country is the university where you are currently studying?","What is your gender?","What is your age?","Which version(s) of ChatGPT have you used?","ChatGPT helps me find accurate information and answers to academic queries.","ChatGPT enhances my academic performance.","ChatGPT is time-saving when it comes to academic work.","I trust ChatGPT as a reliable tool to generate code for programming tasks.","ChatGPT helps me learn and understand various programming concepts (e.g., functions, inheritance, objects and classes).","ChatGPT helps me debug code and fix mistakes in programming tasks.","ChatGPT is overall a useful tool for academic work.","I believe ChatGPT's reliability and accuracy are equivalent to search engines' (e.g., Google Search, Mozilla Firefox).","ChatGPT is fun to use in my academic work.","ChatGPT helps me come up with creative ideas for my academic work.","Learning how to write ChatGPT prompts to get reliable answers is easy.","I have access to adequate resources (e.g., internet, devices) to use ChatGPT effectively.","Teachers and other teaching staff believe I should use ChatGPT for academic purposes.","My peers believe I should use ChatGPT for academic purposes.","I feel comfortable telling others that I am using ChatGPT for academic purposes.","Please specify the reasons why you might feel uncomfortable telling others that you use ChatGPT for academic purposes:","If some reasons were not mentioned above, please specify:","I believe ChatGPT usage can have a positive impact on my studying process.","Please specify in which way ChatGPT usage can have a positive impact on your studying process:","I believe ChatGPT usage can have a negative impact on my studying process.","Please specify in which way ChatGPT usage can have a negative impact on your studying process:","If some concerns were not mentioned above, please specify:","How often do you need to rewrite ChatGPT prompts to get satisfactory results?","How often do you use ChatGPT for academic purposes?"," How long have you been using ChatGPT?","Have you used other AI language models or AI tools except for ChatGPT? (e.g., Bing AI, Notion AI)"
"2024/05/24 3:19:20 PM GMT+3","Yes","Yes","Bachelor","1-5 years","Netherlands","Non-binary","18-25 years","ChatGPT 3.5;ChatGPT 4;Chat GPT 4o","Disagree","","Disagree","Agree","Disagree","Disagree","Agree","Strongly disagree","Agree","Disagree","Neither agree nor disagree","Strongly agree","Disagree","Neither agree nor disagree","Agree","","","Agree","ChatGPT is a tool that can have a net positive impact on my studying process by alleviating the load for various repetitive tasks, for example boilerplate. When well-designed, functions can be supplemented by something written by an LLM. In addition, ChatGPT can provide some sense of direction in case a question's wording is't specific enough, and asking it for a sample answer can often help find out what the assignment in question expects.","Strongly agree","Critical thinking skills;Problem-solving skills;Creativity","","Frequently","Occasionally","1 to 2 years","Yes"
"2024/05/24 3:51:39 PM GMT+3","Yes","Yes","Bachelor","1-5 years","Russia","Male","18-25 years","ChatGPT 3.5;ChatGPT 4","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Disagree","Strongly Disagree","Agree","Agree","Agree","Disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","","","Agree","Speeds up the search for necessary information","Disagree","","","Frequently","Occasionally","6 to 12 months","Yes"
"2024/05/24 3:56:12 PM GMT+3","Yes","Yes","Bachelor","1-5 years","Russia","Male","18-25 years","ChatGPT 3.5;ChatGPT 4;Chat GPT 4o","Neither agree nor disagree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Strongly disagree","I worry that others might question the authenticity and originality of my work.;I worry that others might view my use of ChatGPT as being lazy.;I worry about being perceived as less capable or competent if I admit to using it.","","Strongly agree","Using ChatGPT can positively impact Your learning process as a Data Science student in several ways:

    Instant Access to Information: ChatGPT provides quick answers to complex questions, helping You understand concepts and methodologies in Data Science more efficiently.

    Code Assistance: ChatGPT can help debug code, suggest improvements, and provide code snippets, which is invaluable when You are working on assignments or projects.

    Learning New Concepts: ChatGPT can explain new or challenging concepts in simpler terms, provide examples, and offer additional resources for deeper understanding.

    Practice Problems: ChatGPT can generate practice problems and solutions, allowing You to test Your knowledge and improve problem-solving skills.

    Research Support: ChatGPT can assist in finding relevant research papers, articles, and references, making it easier to gather information for assignments and projects.

    Language Support: For non-native English speakers, ChatGPT can help translate technical terms and explanations, ensuring better comprehension of study materials.

    Personalized Learning: ChatGPT can adapt to Your learning pace and style, providing customized explanations and resources tailored to Your needs.

    Time Management: By quickly answering queries and providing resources, ChatGPT helps save time, allowing You to focus more on practical applications and in-depth study.

Overall, using ChatGPT as a learning tool can enhance Your understanding, efficiency, and confidence in Data Science.","Neither agree nor disagree","","","Frequently","Frequently","6 to 12 months","Yes"
"2024/05/24 4:00:10 PM GMT+3","Yes","Yes","Bachelor","1-5 years","Netherlands","Female","18-25 years","ChatGPT 3.5;Chat GPT 4o","Disagree","Agree","Strongly Agree","Disagree","Agree","Agree","Agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Strongly agree","Disagree","Strongly agree","Agree","","","Strongly agree","Providing outlines for writing reports, helping me paraphrase sentences and helping me troubleshoot code","Agree","Critical thinking skills;Problem-solving skills;Creativity","","Occasionally","Frequently","1 to 2 years","Yes"
"2024/05/24 4:20:10 PM GMT+3","Yes","Yes","Bachelor","1-5 years","Ukraine","Male","18-25 years","ChatGPT 3.5;Chat GPT 4o","Agree","Strongly Agree","Strongly Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Strongly Agree","Agree","Strongly agree","Neither agree nor disagree","Agree","Strongly agree","Disagree","Strongly agree","Strongly agree","","","Strongly agree","Accelerates understanding of complex things, simplifies routine tasks","Disagree","","","Occasionally","Frequently","6 to 12 months","Yes"
"2024/05/24 4:21:13 PM GMT+3","Yes","Yes","Bachelor","5-10 years","Netherlands","Male","18-25 years","ChatGPT 3.5;ChatGPT 4;Chat GPT 4o","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly agree","Strongly agree","Agree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","","","Strongly agree","ChatGPT eases the searching process and provides more or less reliable answers to any intricate question. However, the positivity of the impact it gives strongly rely on the person studying. It is important to analyze and properly read the information it gives.","Agree","Critical thinking skills;Problem-solving skills","","Occasionally","Occasionally","1 to 2 years","Yes"
"2024/05/24 4:38:03 PM GMT+3","Yes","Yes","Bachelor","5-10 years","Netherlands","Female","18-25 years","ChatGPT 3.5;ChatGPT 4;Chat GPT 4o","Agree","Neither agree nor disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Neither agree nor disagree","Disagree","I worry that others might question the authenticity and originality of my work.;I worry that others might view my use of ChatGPT as being lazy.;I worry about judgment or skepticism about the credibility of my research and writing.;I worry about being perceived as less capable or competent if I admit to using it.","","Agree","Explains hard concepts in easy ways (minecraft terminology)","Agree","Critical thinking skills;Group work skills;Creativity","","Occasionally","Occasionally","1 to 2 years","Yes"
"2024/05/24 4:57:56 PM GMT+3","Yes","Yes","Master","5-10 years","France","Non-binary","25-35 years","ChatGPT 3.5;ChatGPT 4;Chat GPT 4o","Agree","Neither agree nor disagree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Neither agree nor disagree","Agree","Disagree","Agree","Agree","Agree","Neither agree nor disagree","Agree","","","Agree","It can impersonate a teacher and this way guide/instruct/teach me at a high level and pace by itself","Agree","Critical thinking skills;Problem-solving skills;Creativity","","Occasionally","Frequently","6 to 12 months","Yes"
"2024/05/24 4:59:36 PM GMT+3","Yes","Yes","Bachelor","1-5 years","Russia","Male","18-25 years","ChatGPT 3.5;ChatGPT 4;Chat GPT 4o","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neither agree nor disagree","Strongly Agree","Disagree","Neither agree nor disagree","Agree","Agree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","","","Strongly agree","Huge time saving","Strongly disagree","","","Frequently","Frequently","1 to 2 years","Yes"
"2024/05/24 6:02:27 PM GMT+3","Yes","Yes","Bachelor","1-5 years","Netherlands","Male","18-25 years","ChatGPT 3.5;ChatGPT 4;Chat GPT 4o","Neither agree nor disagree","Strongly Disagree","Agree","Disagree","Neither agree nor disagree","Strongly Agree","Strongly Agree","Disagree","Neither agree nor disagree","Strongly disagree","Agree","Agree","Disagree","Agree","Agree","","","Disagree","","Agree","Critical thinking skills;Problem-solving skills;Creativity","","Frequently","Rarely","1 to 2 years","Yes"
"2024/05/25 10:33:57 AM GMT+3","Yes","Yes","Bachelor","1-5 years","Netherlands","Male","18-25 years","ChatGPT 3.5;ChatGPT 4;Chat GPT 4o","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Neither agree nor disagree","Strongly Agree","Disagree","Agree","Strongly agree","Strongly Agree","Strongly agree","Agree","Agree","Agree","","","Strongly agree","It has enabled me to learn and understand concepts, complete tasks, and generally get work done to a much faster degree than possible without.","Agree","Critical thinking skills;Problem-solving skills;Group work skills;Creativity","","Frequently","Frequently","1 to 2 years","Yes"
"2024/05/25 11:12:12 AM GMT+3","Yes","Yes","Bachelor","5-10 years","Netherlands","Male","25-35 years","ChatGPT 4;Chat GPT 4o","Neither agree nor disagree","Agree","Agree","Neither agree nor disagree","Strongly Disagree","Neither agree nor disagree","Agree","Strongly disagree","Neither agree nor disagree","Disagree","Agree","Strongly agree","Disagree","Neither agree nor disagree","Agree","","","Neither agree nor disagree","","Agree","Problem-solving skills","","Frequently","Occasionally","6 to 12 months","No"
"2024/05/25 2:54:24 PM GMT+3","Yes","Yes","Bachelor","1-5 years","Netherlands","Male","18-25 years","ChatGPT 3.5;ChatGPT 4;Chat GPT 4o","Neither agree nor disagree","Strongly Agree","Strongly Agree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly Agree","Disagree","Strongly agree","Neither agree nor disagree","Disagree","Strongly agree","Strongly disagree","Strongly agree","Disagree","I worry that others might question the authenticity and originality of my work.;I worry that others might view my use of ChatGPT as being lazy.;I worry about being perceived as less capable or competent if I admit to using it.","","Strongly disagree","","Strongly agree","Critical thinking skills;Problem-solving skills","","Occasionally","Always","1 to 2 years","Yes"
"2024/05/25 3:26:57 PM GMT+3","Yes","Yes","Bachelor","5-10 years","Netherlands","Male","18-25 years","ChatGPT 3.5;Chat GPT 4o","Disagree","Neither agree nor disagree","Strongly Agree","Agree","Agree","Agree","Agree","","Disagree","Agree","Agree","Strongly agree","","Agree","Neither agree nor disagree","","","Agree","I sometimes find it as a useful tool to get started with hard problems","Agree","Critical thinking skills;Problem-solving skills;Group work skills;Creativity","","Always","Occasionally","6 to 12 months","No"
"2024/05/25 3:35:20 PM GMT+3","Yes","Yes","Bachelor","5-10 years","Netherlands","Male","18-25 years","ChatGPT 3.5","Disagree","Agree","Agree","Disagree","Strongly Agree","Agree","Agree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Strongly agree","Neither agree nor disagree","Agree","Neither agree nor disagree","","","Agree","By using it to learn new concepts or get some ideas when you are lost. Also it can be used instead of using the documentation of some libraries which saves time.","Neither agree nor disagree","","","Frequently","Occasionally","1 to 2 years","No"
"2024/05/25 5:42:41 PM GMT+3","Yes","Yes","Bachelor","1-5 years","Netherlands","Female","18-25 years","ChatGPT 3.5","Neither agree nor disagree","Agree","Neither agree nor disagree","Disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Disagree","Agree","Neither agree nor disagree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","","","Neither agree nor disagree","","Agree","Critical thinking skills;Problem-solving skills;Group work skills;Creativity","","Frequently","Occasionally","6 to 12 months","No"
"2024/05/25 6:51:48 PM GMT+3","Yes","Yes","Master","1-5 years","France","Non-binary","18-25 years","ChatGPT 3.5;ChatGPT 4;Chat GPT 4o","Neither agree nor disagree","Strongly Agree","Neither agree nor disagree","Strongly Disagree","Agree","Neither agree nor disagree","Strongly Agree","Strongly disagree","Strongly disagree","Agree","Strongly Disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","","","Strongly agree","Explain things ","Strongly disagree","","","Frequently","Always","1 to 2 years","Yes"
"2024/05/25 7:13:25 PM GMT+3","Yes","Yes","Bachelor","0-1 year","Netherlands","Female","18-25 years","ChatGPT 3.5","Agree","Neither agree nor disagree","Agree","Disagree","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Strongly agree","Agree","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","","","Agree","It can help in understanding new pieces of knowledge, provide examples and help with exam preparation","Agree","Critical thinking skills","","Frequently","Frequently","6 to 12 months","No"
"2024/05/25 7:27:48 PM GMT+3","Yes","Yes","Other","5-10 years","France, Metropolitan","Male","18-25 years","ChatGPT 3.5","Neither agree nor disagree","Neither agree nor disagree","Disagree","Agree","Disagree","Strongly Disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","","","Neither agree nor disagree","","Neither agree nor disagree","","","Occasionally","Occasionally","1 to 2 years","No"
"2024/05/25 7:28:27 PM GMT+3","Yes","Yes","Master","1-5 years","France","Male","18-25 years","ChatGPT 3.5","Disagree","Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Disagree","Disagree","Agree","Neither agree nor disagree","Strongly agree","Agree","Strongly agree","Neither agree nor disagree","","","Neither agree nor disagree","","Neither agree nor disagree","","","Always","Frequently","6 to 12 months","Yes"
"2024/05/25 7:28:53 PM GMT+3","Yes","Yes","Other","1-5 years","Equatorial Guinea","Male","18-25 years","ChatGPT 3.5;ChatGPT 4;Chat GPT 4o","Neither agree nor disagree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Strongly agree","Agree","Strongly agree","Disagree","Neither agree nor disagree","Strongly agree","","","Strongly agree","Time and efficiency gains","Disagree","","","Occasionally","Always","1 to 2 years","Yes"
"2024/05/25 7:34:24 PM GMT+3","Yes","Yes","Bachelor","1-5 years","France, Metropolitan","Female","18-25 years","ChatGPT 3.5;Chat GPT 4o","Neither agree nor disagree","Neither agree nor disagree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Disagree","Agree","Neither agree nor disagree","","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","","","Neither agree nor disagree","","Neither agree nor disagree","","","Frequently","Occasionally","6 to 12 months","Yes"
"2024/05/25 7:36:34 PM GMT+3","Yes","Yes","Bachelor","1-5 years","Netherlands","Male","18-25 years","ChatGPT 4;Chat GPT 4o","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Neither agree nor disagree","Strongly Agree","Agree","Strongly agree","Agree","Strongly Agree","Strongly agree","Neither agree nor disagree","Agree","Agree","","","Strongly agree","","Disagree","","","Frequently","Frequently","1 to 2 years","No"
"2024/05/25 7:37:44 PM GMT+3","Yes","Yes","Master","5-10 years","France","Male","18-25 years","ChatGPT 3.5;ChatGPT 4","Strongly Disagree","Agree","Strongly Agree","Neither agree nor disagree","Agree","Strongly Agree","Strongly Agree","Disagree","Neither agree nor disagree","Disagree","Disagree","Strongly agree","Agree","","Strongly agree","","","Strongly agree","Chatgpt is in particular interesting when you want to discover some concepts. It can explain it for you","Agree","Critical thinking skills;Creativity","","Occasionally","Occasionally","6 to 12 months","Yes"
"2024/05/25 7:47:53 PM GMT+3","Yes","Yes","Bachelor","1-5 years","Russia","Male","18-25 years","ChatGPT 3.5;ChatGPT 4","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Agree","Neither agree nor disagree","Strongly agree","Strongly disagree","Disagree","Strongly agree","","","Agree","1. Time-saving: ChatGPT can provide quick answers and explanations, saving students time when researching or studying, especially when facing tight deadlines.
2. Reduced anxiety: For students hesitant to ask questions in class, ChatGPT provides a low-pressure environment where they can seek clarification and assistance without fear of judgment.
3. Enhanced self-confidence: ChatGPT empowers students by providing valuable tools and resources that enhance their learning experience, ultimately boosting their self-confidence.","Agree","Critical thinking skills;Problem-solving skills","","Frequently","Occasionally","1 to 2 years","Yes"
"2024/05/25 7:56:15 PM GMT+3","Yes","Yes","Master","1-5 years","France","Female","18-25 years","ChatGPT 3.5;ChatGPT 4;Chat GPT 4o","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","","","Agree","","Disagree","","","Frequently","Frequently","6 to 12 months","No"
"2024/05/25 7:57:22 PM GMT+3","Yes","Yes","Master","1-5 years","France","Male","18-25 years","ChatGPT 3.5","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Disagree","Agree","Neither agree nor disagree","Disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","","","Agree","Makes it easier to grasp scientific concepts","Agree","Critical thinking skills;Problem-solving skills;Group work skills;Creativity","","Rarely","Occasionally","0 to 6 months","No"
"2024/05/25 8:30:47 PM GMT+3","Yes","Yes","Master","1-5 years","France","Male","18-25 years","ChatGPT 3.5;Chat GPT 4o","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly disagree","Strongly agree","Strongly agree","Disagree","Agree","Strongly disagree","Neither agree nor disagree","Agree","","","Strongly agree","","Neither agree nor disagree","","","Frequently","Frequently","1 to 2 years","No"
"2024/05/25 8:57:28 PM GMT+3","Yes","Yes","Master","1-5 years","France","Male","18-25 years","ChatGPT 3.5","Agree","Agree","Strongly Agree","Disagree","Agree","Strongly Agree","Strongly Agree","Agree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Strongly agree","Disagree","Neither agree nor disagree","Agree","","","Strongly agree","Chapgpt help me to confirm some information which i couldn't find with google.","Agree","Critical thinking skills;Problem-solving skills;Creativity","Laziness","Occasionally","Occasionally","6 to 12 months","Yes"
"2024/05/25 9:02:16 PM GMT+3","Yes","Yes","Bachelor","1-5 years","Netherlands","Male","18-25 years","ChatGPT 3.5","Agree","Strongly Agree","Agree","Disagree","Strongly Disagree","Strongly Disagree","Agree","Strongly agree","Agree","Strongly agree","Agree","","Disagree","Agree","Strongly agree","","","Strongly agree","Write an essay, generate email for the teacher, explain the code, answer on questions (similar purpose as Search Engine)","Strongly disagree","","","Rarely","Frequently","6 to 12 months","No"
"2024/05/25 10:52:14 PM GMT+3","Yes","Yes","Other","1-5 years","France","Female","18-25 years","ChatGPT 3.5;Chat GPT 4o","Agree","Strongly Agree","Strongly Agree","Neither agree nor disagree","Strongly Agree","Agree","Strongly Agree","Disagree","Agree","Agree","Neither agree nor disagree","Agree","Disagree","Strongly agree","Agree","","","Agree","","Agree","Critical thinking skills;Problem-solving skills;Creativity","","Frequently","Frequently","1 to 2 years","Yes"
"2024/05/26 12:38:11 PM GMT+3","Yes","Yes","Master","5-10 years","Netherlands","Male","18-25 years","ChatGPT 3.5;ChatGPT 4","Agree","Disagree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","Strongly disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Agree","Agree","","","Neither agree nor disagree","","Agree","Group work skills;Creativity","","Frequently","Occasionally","1 to 2 years","No"
"2024/05/26 3:35:48 PM GMT+3","Yes","Yes","Master","0-1 year","France, Metropolitan","Female","18-25 years","ChatGPT 3.5;ChatGPT 4","Disagree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Agree","","","Agree","Codes","Agree","Critical thinking skills;Problem-solving skills;Group work skills;Creativity","","Rarely","Occasionally","0 to 6 months","No"
"2024/05/26 8:06:20 PM GMT+3","Yes","Yes","Bachelor","1-5 years","Netherlands","Male","18-25 years","ChatGPT 3.5;ChatGPT 4;Chat GPT 4o","Neither agree nor disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Strongly disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","","","Agree","Help with understanding, ease for creating irrelevant quick scripts","Agree","Problem-solving skills","","Always","Occasionally","1 to 2 years","Yes"
"2024/05/26 11:50:46 PM GMT+3","Yes","Yes","Master","1-5 years","France","Male","18-25 years","ChatGPT 3.5","Neither agree nor disagree","Neither agree nor disagree","Agree","Disagree","Agree","Agree","Agree","Disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Strongly agree","Disagree","Disagree","Agree","","","Neither agree nor disagree","","Neither agree nor disagree","","","Frequently","Rarely","1 to 2 years","Yes"
"2024/05/27 6:14:58 AM GMT+3","Yes","Yes","Bachelor","1-5 years","Poland","Female","18-25 years","ChatGPT 3.5","Agree","Agree","Strongly Agree","Disagree","Agree","Agree","Strongly Agree","Agree","Agree","Disagree","Strongly Agree","Strongly agree","Neither agree nor disagree","Agree","Strongly agree","","","Agree","Makes faster resolving routine tasks, helps with finding and fixing mistakes, can explain things and understand questions I can’t google","Disagree","","","Frequently","Frequently","6 to 12 months","No"
